industry_name,avg_skills_required,total_jobs
Mattress and Blinds Manufacturing,3.0,2
Household and Institutional Furniture Manufacturing,3.0,1
Zoos and Botanical Gardens,3.0,1
Wholesale Photography Equipment and Supplies,3.0,2
"Metal Valve, Ball, and Roller Manufacturing",3.0,2
Artists and Writers,2.8636363636363638,22
Retail Art Supplies,2.8,20
Retail Recyclable Materials & Used Merchandise,2.75,4
Environmental Quality Programs,2.727272727272727,11
Photography,2.7037037037037037,27
Design,2.6666666666666665,9
Magnetic and Optical Media Manufacturing,2.6666666666666665,3
Paper & Forest Products,2.6666666666666665,3
Baked Goods Manufacturing,2.6666666666666665,3
Medical and Diagnostic Laboratories,2.6666666666666665,3
Performing Arts and Spectator Sports,2.6666666666666665,3
Graphic Design,2.6315789473684212,19
Fine Art,2.6,5
Chemical Raw Materials Manufacturing,2.56,25
Newspaper Publishing,2.533333333333333,15
Investment Advice,2.5,18
Transportation Equipment Manufacturing,2.5,2
"Wholesale Hardware, Plumbing, Heating Equipment",2.5,12
Online Media,2.5,2
Residential Building Construction,2.5,8
Book and Periodical Publishing,2.477386934673367,199
Wireless Services,2.4725274725274726,273
Dairy Product Manufacturing,2.4651162790697674,43
Community Development and Urban Planning,2.411764705882353,17
IT System Testing and Evaluation,2.4035087719298245,57
Business Intelligence Platforms,2.4,5
Accommodation and Food Services,2.4,5
Sugar and Confectionery Product Manufacturing,2.4,5
Wholesale Chemical and Allied Products,2.4,5
Footwear Manufacturing,2.4,5
"Retail Appliances, Electrical, and Electronic Equipment",2.380952380952381,21
Administration of Justice,2.380952380952381,21
Oil and Coal Product Manufacturing,2.375,8
Golf Courses and Country Clubs,2.375,16
Textile Manufacturing,2.3588235294117648,170
Strategic Management Services,2.34375,32
Warehousing and Storage,2.337719298245614,228
Turned Products and Fastener Manufacturing,2.3333333333333335,3
Retail Office Supplies and Gifts,2.3333333333333335,6
Courts of Law,2.3333333333333335,30
Office Furniture and Fixtures Manufacturing,2.3333333333333335,18
Luxury Goods & Jewelry,2.3333333333333335,12
Museums,2.3333333333333335,3
Musicians,2.325,40
Wholesale Import and Export,2.3157894736842106,19
Utilities Administration,2.3,20
Trusts and Estates,2.2857142857142856,7
Public Relations and Communications Services,2.2831858407079646,339
Equipment Rental Services,2.28,25
IT System Data Services,2.276315789473684,76
Office Administration,2.263157894736842,57
Advertising Services,2.258259911894273,1816
Wholesale Food and Beverage,2.255813953488372,43
Motor Vehicle Parts Manufacturing,2.25531914893617,47
Retail Furniture and Home Furnishings,2.25,20
Wholesale Motor Vehicles and Parts,2.25,8
Wholesale Metals and Minerals,2.25,8
Soap and Cleaning Product Manufacturing,2.25,8
Seafood Product Manufacturing,2.25,4
Venture Capital and Private Equity Principals,2.2348754448398576,281
Audio and Video Equipment Manufacturing,2.230769230769231,13
Space Research and Technology,2.225806451612903,31
Construction Hardware Manufacturing,2.2222222222222223,9
Accessible Architecture and Design,2.2222222222222223,9
Capital Markets,2.2222222222222223,171
Electrical Equipment Manufacturing,2.221052631578947,95
Engineering Services,2.216574585635359,905
Electric Power Generation,2.204081632653061,98
Think Tanks,2.2,15
Glass Product Manufacturing,2.2,5
Loan Brokers,2.2,5
"Leisure, Travel & Tourism",2.2,5
Professional Training and Coaching,2.1914893617021276,94
Retail Luxury Goods and Jewelry,2.191235059760956,251
Fabricated Metal Products,2.189189189189189,37
"Glass, Ceramics and Concrete Manufacturing",2.1875,48
Engines and Power Transmission Equipment Manufacturing,2.183333333333333,60
Online and Mail Order Retail,2.1818181818181817,11
Computer and Network Security,2.1815217391304347,920
Security and Investigations,2.1733615221987317,473
Technical and Vocational Training,2.1666666666666665,6
"Wholesale Appliances, Electrical, and Electronics",2.1666666666666665,12
Real Estate and Equipment Rental Services,2.1666666666666665,12
Meat Products Manufacturing,2.1666666666666665,6
Marketing Services,2.1519823788546257,454
Writing and Editing,2.1515151515151514,33
Online Audio and Video Media,2.1444444444444444,90
Robot Manufacturing,2.142857142857143,14
Digital Accessibility Services,2.142857142857143,7
Computer Hardware,2.142857142857143,7
Architecture and Planning,2.139622641509434,530
Tobacco Manufacturing,2.138888888888889,36
Interior Design,2.1333333333333333,30
Fire Protection,2.1333333333333333,15
Entertainment,2.130434782608696,23
"Agriculture, Construction, Mining Machinery Manufacturing",2.125,72
Executive Offices,2.123076923076923,65
Building Construction,2.116022099447514,181
Rubber Products Manufacturing,2.111111111111111,9
Solar Electric Power Generation,2.111111111111111,9
Electric Lighting Equipment Manufacturing,2.111111111111111,9
Translation and Localization,2.108433734939759,83
Landscaping Services,2.1,10
Alternative Fuel Vehicle Manufacturing,2.1,10
Wood Product Manufacturing,2.1,10
Measuring and Control Instrument Manufacturing,2.1,10
Food and Beverage Retail,2.097826086956522,92
Beverage Manufacturing,2.097560975609756,123
Biotechnology,2.096774193548387,62
Events Services,2.094972067039106,179
Philanthropic Fundraising Services,2.09375,32
Alternative Dispute Resolution,2.090909090909091,11
Public Policy Offices,2.085714285714286,35
Insurance Agencies and Brokerages,2.0853658536585367,82
International Trade and Development,2.0681818181818183,132
Robotics Engineering,2.066666666666667,45
Biotechnology Research,2.065730055193176,1993
Insurance Carriers,2.0526315789473686,38
IT System Design Services,2.05,20
"Paint, Coating, and Adhesive Manufacturing",2.0416666666666665,24
"Movies, Videos, and Sound",2.0416666666666665,24
Investment Management,2.040794979079498,956
Insurance and Employee Benefit Funds,2.04,25
Retail Health and Personal Care Products,2.038961038961039,77
Leasing Non-residential Real Estate,2.0388349514563107,103
HVAC and Refrigeration Equipment Manufacturing,2.0317460317460316,63
Operations Consulting,2.0277777777777777,36
Internet Publishing,2.026315789473684,38
Market Research,2.018867924528302,106
Freight and Package Transportation,2.0033670033670035,297
Wholesale Furniture and Home Furnishings,2.0,10
Dairy,2.0,1
Pipeline Transportation,2.0,5
Fisheries,2.0,19
Vehicle Repair and Maintenance,2.0,6
Wholesale Machinery,2.0,3
Wholesale Apparel and Sewing Supplies,2.0,4
Food Production,2.0,42
"Farming, Ranching, Forestry",2.0,10
Real Estate Agents and Brokers,2.0,7
Data Infrastructure and Analytics,2.0,90
Architectural and Structural Metal Manufacturing,2.0,12
Climate Data and Analytics,2.0,9
Executive Search Services,2.0,8
International Affairs,2.0,34
Sports Teams and Clubs,2.0,10
Spring and Wire Product Manufacturing,2.0,5
"Boilers, Tanks, and Shipping Container Manufacturing",2.0,3
Climate Technology Product Manufacturing,2.0,9
Computer Networking,2.0,8
Horticulture,2.0,3
Wholesale Footwear,2.0,2
Public Assistance Programs,2.0,1
Correctional Institutions,2.0,4
Wholesale Petroleum and Petroleum Products,2.0,6
Packaging & Containers,2.0,4
Wholesale Raw Farm Products,2.0,4
Desktop Computing Software Products,2.0,2
Commercial Real Estate,2.0,8
Funds and Trusts,2.0,6
Utility System Construction,2.0,2
Personal Care Services,2.0,4
Personal and Laundry Services,2.0,3
Retail Musical Instruments,2.0,2
Business Consulting and Services,1.997195737521032,1783
Renewable Energy Power Generation,1.975,40
Consumer Services,1.9622641509433962,848
Agricultural Chemical Manufacturing,1.9615384615384615,26
Performing Arts,1.9615384615384615,26
Security Systems Services,1.96,25
Pharmaceutical Manufacturing,1.9561510353227771,2463
Retail Apparel and Fashion,1.9558383233532934,1336
Housing and Community Development,1.9545454545454546,22
"Electric Power Transmission, Control, and Distribution",1.9504132231404958,121
Civil Engineering,1.950222882615156,1346
Computers and Electronics Manufacturing,1.949090909090909,275
Hotels and Motels,1.9482758620689655,58
Sporting Goods Manufacturing,1.9411764705882353,221
Retail Office Equipment,1.9388489208633093,278
Printing Services,1.9375,96
Plastics and Rubber Product Manufacturing,1.9375,16
"Transportation, Logistics, Supply Chain and Storage",1.9358251057827927,1418
Retail Motor Vehicles,1.934782608695652,46
Retail Building Materials and Garden Equipment,1.9333333333333333,30
Internet News,1.9333333333333333,75
Renewables & Environment,1.9333333333333333,30
"Air, Water, and Waste Program Management",1.9310344827586208,29
Metalworking Machinery Manufacturing,1.9285714285714286,14
Wholesale Building Materials,1.9275825346112887,939
Restaurants,1.9269776876267748,986
"Oil, Gas, and Mining",1.9268292682926829,41
Furniture and Home Furnishings Manufacturing,1.9243243243243244,185
Entertainment Providers,1.9211111111111112,900
Mining,1.9194915254237288,236
Surveying and Mapping Services,1.9166666666666667,12
Fashion Accessories Manufacturing,1.9166666666666667,12
Motor Vehicle Manufacturing,1.915767847971238,1947
Primary Metal Manufacturing,1.9130434782608696,23
Farming,1.912,125
Real Estate,1.9098432055749128,2296
Commercial and Service Industry Machinery Manufacturing,1.90625,32
Research Services,1.9055555555555554,720
Government Relations Services,1.904191616766467,167
Software Development,1.9015544041450778,5018
Gambling Facilities and Casinos,1.9013157894736843,152
Design Services,1.9007832898172323,383
Industrial Automation,1.9,10
Environmental Services,1.8983347940403155,1141
Banking,1.8972250770811923,2919
Specialty Trade Contractors,1.896551724137931,29
Food and Beverage Services,1.8938577586206897,1856
Retail Groceries,1.8917910447761195,268
Plastics Manufacturing,1.8911917098445596,193
Professional Services,1.890380313199105,447
Wine & Spirits,1.8888888888888888,9
Housing Programs,1.8888888888888888,9
Manufacturing,1.8849077090119435,3684
"Museums, Historical Sites, and Zoos",1.8833333333333333,60
Computer Games,1.8829787234042554,94
Religious Institutions,1.8823529411764706,68
E-Learning Providers,1.881118881118881,286
Public Safety,1.8802083333333333,384
Investment Banking,1.8801313628899836,609
Mechanical Or Industrial Engineering,1.88,25
Community Services,1.875,8
Furniture,1.875,8
Financial Services,1.8725709574843952,8491
Food & Beverages,1.8717948717948718,39
"Technology, Information and Internet",1.8713826366559485,1555
Paper and Forest Product Manufacturing,1.8682634730538923,167
Public Health,1.867816091954023,174
Travel Arrangements,1.8670886075949367,316
Outsourcing and Offshoring Consulting,1.8629032258064515,124
Maritime Transportation,1.8604651162790697,43
Construction,1.860451480504251,3411
Education Administration Programs,1.8590673575129533,965
Food and Beverage Manufacturing,1.8589090909090908,1375
Accounting,1.857288481141692,1962
Chemical Manufacturing,1.8571428571428572,1029
Animal Feed Manufacturing,1.8571428571428572,7
Truck Transportation,1.856052344601963,917
"Appliances, Electrical, and Electronics Manufacturing",1.8544891640866874,1292
Hospitality,1.8529291274068005,2441
Packaging and Containers Manufacturing,1.8522727272727273,528
Fundraising,1.85,40
Retail,1.8494183933115231,11004
IT System Installation and Disposal,1.8461538461538463,13
Medical Equipment Manufacturing,1.8448060075093868,1598
Automation Machinery Manufacturing,1.839323467230444,473
Broadcast Media Production and Distribution,1.8367952522255193,337
IT System Custom Software Development,1.8364779874213837,159
Personal Care Product Manufacturing,1.8356164383561644,292
Libraries,1.8333333333333333,6
Apparel Manufacturing,1.8333333333333333,18
Human Resources Services,1.8318804483188045,803
Machinery Manufacturing,1.8303249097472925,554
Services for Renewable Energy,1.8299711815561959,347
Shipbuilding,1.829268292682927,41
Apparel & Fashion,1.8282828282828283,99
Spectator Sports,1.8273809523809523,168
Higher Education,1.826593137254902,1632
Military and International Affairs,1.8235294117647058,34
Transportation/Trucking/Railroad,1.8222222222222222,45
Holding Companies,1.8214285714285714,28
Primary and Secondary Education,1.8211678832116789,548
Alternative Medicine,1.82,50
Ground Passenger Transportation,1.8181818181818181,11
Nanotechnology Research,1.8181818181818181,22
Political Organizations,1.8181818181818181,22
Utilities,1.8178217821782179,1010
Telecommunications,1.8137618459002884,2427
Oil and Gas,1.811581676750216,1157
Wholesale,1.8115671641791045,536
Insurance,1.8109433962264152,2650
Repair and Maintenance,1.8085106382978724,47
Legislative Offices,1.8,5
Communications Equipment Manufacturing,1.8,5
Aviation and Aerospace Component Manufacturing,1.7992125984251968,1016
Social Networking Platforms,1.7941176470588236,34
"Technology, Information and Media",1.7916666666666667,1200
Transportation Programs,1.7857142857142858,14
Renewable Energy Equipment Manufacturing,1.7826086956521738,46
Industrial Machinery Manufacturing,1.7816736792893875,2139
Cosmetics,1.7777777777777777,9
IT System Operations and Maintenance,1.775,40
Aviation & Aerospace,1.7692307692307692,13
Defense and Space Manufacturing,1.766355140186916,1498
Consumer Electronics,1.7619047619047619,21
Facilities Services,1.7588996763754046,618
Education,1.757201646090535,243
Animation and Post-production,1.75,4
Securities and Commodity Exchanges,1.75,4
Blockchain Services,1.75,4
Caterers,1.75,4
Retail Pharmacies,1.7466666666666666,75
Airlines and Aviation,1.731568998109641,529
Law Enforcement,1.7261904761904763,84
Semiconductor Manufacturing,1.7165668662674651,501
Forestry and Logging,1.7142857142857142,7
Wholesale Luxury Goods and Jewelry,1.7142857142857142,7
Building Materials,1.7142857142857142,35
Telephone Call Centers,1.7,20
Business Content,1.6996336996336996,273
Rail Transportation,1.6944444444444444,36
Renewable Energy Semiconductor Manufacturing,1.6923076923076923,260
Wholesale Alcoholic Beverages,1.6875,16
Information Services,1.6869782971619365,1198
IT Services and IT Consulting,1.6837149370601645,10089
Nursing Homes and Residential Care Facilities,1.6774193548387097,31
Conservation Programs,1.6666666666666667,3
Janitorial Services,1.6666666666666667,3
E-learning,1.6666666666666667,12
Retail Florists,1.6666666666666667,3
Computer Networking Products,1.6666666666666667,102
Household Services,1.6666666666666667,3
Government Administration,1.6636005256241788,1522
Health and Human Services,1.6565656565656566,297
Recreational Facilities,1.653061224489796,49
Sports and Recreation Instruction,1.6521739130434783,23
School and Employee Bus Services,1.6363636363636365,11
Natural Gas Distribution,1.6363636363636365,11
Information Technology & Services,1.6358792184724689,563
Automotive,1.6329113924050633,79
IT System Training and Support,1.625,16
Armed Forces,1.619047619047619,147
Medical Device,1.6181818181818182,55
Research,1.6153846153846154,13
Media Production,1.612565445026178,191
Commercial and Industrial Equipment Rental,1.6,5
Economic Programs,1.6,10
Administrative and Support Services,1.6,105
"Water, Waste, Steam, and Air Conditioning Services",1.6,5
Wholesale Recyclable Materials,1.6,5
Semiconductors,1.5714285714285714,28
Computer Hardware Manufacturing,1.5598958333333333,384
Railroad Equipment Manufacturing,1.5555555555555556,36
Non-profit Organizations,1.5465807730426164,2018
Consumer Goods,1.5280898876404494,89
Defense & Space,1.5172413793103448,29
Nonresidential Building Construction,1.5,2
Pension Funds,1.5,2
"Claims Adjusting, Actuarial Services",1.5,8
Urban Transit Services,1.5,2
Wholesale Paper Products,1.5,2
Wholesale Computer Equipment,1.5,8
Metal Treatments,1.5,14
