industry_name,skill_name,skill_count,rank
Abrasives and Nonmetallic Minerals Manufacturing,Engineering,1,1
Accessible Architecture and Design,Design,5,1
Accessible Architecture and Design,Project Management,4,2
Accessible Architecture and Design,Engineering,4,2
Accessible Architecture and Design,Information Technology,3,4
Accessible Architecture and Design,Strategy/Planning,2,5
Accessible Architecture and Design,Accounting/Auditing,1,6
Accessible Architecture and Design,Sales,1,6
Accommodation and Food Services,Customer Service,2,1
Accommodation and Food Services,Administrative,1,2
Accommodation and Food Services,Training,1,2
Accommodation and Food Services,Human Resources,1,2
Accommodation and Food Services,Strategy/Planning,1,2
Accommodation and Food Services,Other,1,2
Accommodation and Food Services,Management,1,2
Accommodation and Food Services,Analyst,1,2
Accommodation and Food Services,Sales,1,2
Accommodation and Food Services,Distribution,1,2
Accommodation and Food Services,Business Development,1,2
Accounting,Accounting/Auditing,1285,1
Accounting,Finance,907,2
Accounting,Information Technology,196,3
Accounting,Administrative,153,4
Accounting,Sales,142,5
Accounting,Consulting,129,6
Accounting,Management,119,7
Accounting,Business Development,100,8
Accounting,General Business,84,9
Accounting,Strategy/Planning,83,10
Administration of Justice,Legal,15,1
Administration of Justice,Administrative,13,2
Administration of Justice,Strategy/Planning,9,3
Administration of Justice,Customer Service,3,4
Administration of Justice,Other,2,5
Administration of Justice,Management,2,5
Administration of Justice,Information Technology,2,5
Administration of Justice,Business Development,2,5
Administration of Justice,Sales,1,9
Administration of Justice,General Business,1,9
Administrative and Support Services,Customer Service,62,1
Administrative and Support Services,Administrative,49,2
Administrative and Support Services,Legal,12,3
Administrative and Support Services,General Business,8,4
Administrative and Support Services,Finance,6,5
Administrative and Support Services,Project Management,3,6
Administrative and Support Services,Management,3,6
Administrative and Support Services,Information Technology,3,6
Administrative and Support Services,Accounting/Auditing,3,6
Administrative and Support Services,Other,3,6
Administrative and Support Services,Human Resources,3,6
Advertising Services,Marketing,849,1
Advertising Services,Sales,566,2
Advertising Services,Customer Service,454,3
Advertising Services,Management,432,4
Advertising Services,Advertising,362,5
Advertising Services,Business Development,321,6
Advertising Services,Information Technology,175,7
Advertising Services,Public Relations,98,8
Advertising Services,Writing/Editing,81,9
Advertising Services,Manufacturing,78,10
Agricultural Chemical Manufacturing,Engineering,9,1
Agricultural Chemical Manufacturing,Manufacturing,9,1
Agricultural Chemical Manufacturing,Management,6,3
Agricultural Chemical Manufacturing,Information Technology,4,4
Agricultural Chemical Manufacturing,Production,3,5
Agricultural Chemical Manufacturing,Administrative,3,5
Agricultural Chemical Manufacturing,General Business,2,7
Agricultural Chemical Manufacturing,Supply Chain,2,7
Agricultural Chemical Manufacturing,Research,2,7
Agricultural Chemical Manufacturing,Science,2,7
"Agriculture, Construction, Mining Machinery Manufacturing",Accounting/Auditing,18,1
"Agriculture, Construction, Mining Machinery Manufacturing",Engineering,16,2
"Agriculture, Construction, Mining Machinery Manufacturing",Finance,15,3
