job_id,title,extracted_skills,skill_count,cluster_id
322,Northeast Georgia Health System,,0,0
357,Georgia Tech Research Institute,,0,0
358,Georgia Tech Research Institute,,0,0
387,AstraZeneca,,0,0
514,Tastes on the Fly,,0,0
619,Steelcase,,0,0
677,Cape Fear Valley Health,,0,0
692,"ChanceLight Behavioral Health, Therapy, & Education",,0,0
764,Department of Behavioral Health and Developmental Services,,0,0
766,Department of Behavioral Health and Developmental Services,,0,0
814,Metropolitan Transportation Authority,,0,0
821,Discovery Life Sciences,,0,0
839,Clark County School District,,0,0
845,Federal Bureau of Prisons - Career Connections,,0,0
847,Federal Bureau of Prisons - Career Connections,,0,0
863,Des Moines Public Schools,,0,0
867,The Jonus Group,,0,0
876,Department of Behavioral Health and Developmental Services,,0,0
883,SKF Group,,0,0
891,Metropolitan Transportation Authority,,0,0
912,Clark County School District,,0,0
934,Tennessee Valley Authority,,0,0
935,The Jonus Group,,0,0
936,The Jonus Group,,0,0
958,Service Corporation International,,0,0
962,Metropolitan Transportation Authority,,0,0
989,Clark County School District,,0,0
992,Federal Bureau of Prisons - Career Connections,,0,0
1003,Des Moines Public Schools,,0,0
1008,The Jonus Group,,0,0
1012,Lexington Medical Center,,0,0
1014,Gainwell Technologies,,0,0
1017,North Arkansas Regional Medical Center,,0,0
1037,SGS,,0,0
1056,Clark County School District,,0,0
1057,Clark County School District,,0,0
1058,Clark County School District,,0,0
1060,Benevis,,0,0
1061,Schreiber Foods,,0,0
1101,The New York Foundling,,0,0
1108,Clark County School District,,0,0
1112,Ascend Federal Credit Union,,0,0
1114,Federal Bureau of Prisons - Career Connections,,0,0
1133,Gainwell Technologies,,0,0
1142,Merchants Fleet,,0,0
1145,"AvantGuard Monitoring Centers, A Becklar Company",,0,0
1147,Staples Stores,,0,0
1149,Promega Corporation ,,0,0
1161,Metropolitan Transportation Authority,,0,0
1174,Brightspeed,,0,0
1209,The Jonus Group,,0,0
1240,Staples Stores,,0,0
1243,Staples Stores,,0,0
1245,Staples Stores,,0,0
1249,ABF Freight,,0,0
1279,Element Materials Technology,,0,0
1294,Metropolitan Transportation Authority,,0,0
1313,Clark County School District,,0,0
1317,Schreiber Foods,,0,0
1336,The Jonus Group,,0,0
1337,The Jonus Group,,0,0
1346,Brightspeed,,0,0
1351,Gainwell Technologies,,0,0
1367,Staples Stores,,0,0
1392,Gulfstream Aerospace,,0,0
1422,Metropolitan Transportation Authority,,0,0
1424,Metropolitan Transportation Authority,,0,0
1433,The New York Foundling,,0,0
1434,Allied Solutions LLC,,0,0
1441,Brightspeed,,0,0
1451,Clark County School District,,0,0
1472,HARMAN International,,0,0
1474,Schwan's Company,,0,0
1493,Staples Stores,,0,0
1507,Gulfstream Aerospace,,0,0
1512,National General,,0,0
1514,Solomon Page,,0,0
1526,Element Materials Technology,,0,0
1537,Gainwell Technologies,,0,0
1575,Ingersoll Rand,,0,0
1590,Element Materials Technology,,0,0
1635,DICK'S Sporting Goods,,0,0
1647,North American Dental Group (NADG),,0,0
1648,Georgia Tech Research Institute,,0,0
1652,Sargent & Lundy,,0,0
1658,"AvantGuard Monitoring Centers, A Becklar Company",,0,0
1659,Staples Stores,,0,0
1660,Staples Stores,,0,0
1662,Staples Stores,,0,0
1683,Gulfstream Aerospace,,0,0
1690,Solomon Page,,0,0
1701,Element Materials Technology,,0,0
1708,L.A. Care Health Plan,,0,0
1725,BioMarin Pharmaceutical Inc.,,0,0
1739,WITRON Group,,0,0
1740,Tenable,,0,0
1744,Exact Sciences,,0,0
1748,Exact Sciences,,0,0
1756,SBA Communications,,0,0
1763,North American Dental Group (NADG),,0,0
1792,ABF Freight,,0,0
1804,Satellite Healthcare / WellBound,,0,0
1825,"ClearCaptions, LLC",,0,0
1828,Partnership HealthPlan of California,,0,0
1837,Claire's,,0,0
1845,Ohio Department of Agriculture,,0,0
1847,Employment Development Department,,0,0
1853,The Save Mart Companies,,0,0
1876,Elevance Health,,0,0
1898,Ingersoll Rand,,0,0
1902,HRC International,chef,1,0
1906,Enel North America,,0,0
1922,"V-Soft Consulting Group, Inc.",,0,0
1923,Elevance Health,,0,0
1925,Farm Bureau Financial Services,,0,0
1937,NAPA Auto Parts,,0,0
1949,Claire's,,0,0
1953,Ohio Department of Mental Health & Addiction Services,,0,0
1958,Warby Parker,,0,0
1966,Acrisure,,0,0
1968,Carex Consulting Group,,0,0
1971,BNY Mellon,,0,0
1985,DICK'S Sporting Goods,,0,0
1998,EVERSANA,,0,0
2000,Bryan Health,,0,0
2011,BNY Mellon,,0,0
2042,Element Materials Technology,,0,0
2053,Partnership HealthPlan of California,,0,0
2054,Partnership HealthPlan of California,,0,0
2074,Ohio Department of Mental Health & Addiction Services,,0,0
2079,Price Chopper Supermarkets-Market 32,,0,0
2087,Stanford University,,0,0
2095,SBA Communications,,0,0
2100,Charter Dura-Bar,,0,0
2102,DICK'S Sporting Goods,,0,0
2103,Legends,,0,0
2107,BNY Mellon,,0,0
2108,Rich Products Corporation,,0,0
2109,Experis,,0,0
2114,Merrick & Company,,0,0
2118,Easterseals Southern California,,0,0
2119,Easterseals Southern California,,0,0
2124,CBS Sports,,0,0
2133,Pape-Dawson Engineers,,0,0
2134,Pape-Dawson Engineers,,0,0
2146,Ohio BWC (official),,0,0
2148,LyondellBasell,,0,0
2149,Employment Development Department,,0,0
2151,Mandarin Oriental Hotel Group,,0,0
2166,Claire's,,0,0
2172,Price Chopper Supermarkets-Market 32,,0,0
2182,"J.B. Hunt Transport Services, Inc.",,0,0
2183,"J.B. Hunt Transport Services, Inc.",,0,0
2187,Worldwide Assurance for Employees of Public Agencies (WAEPA),,0,0
2205,Publicis Collective,,0,0
2213,Exact Sciences,,0,0
2216,Langan Engineering & Environmental Services,,0,0
2218,Odyssey Systems,,0,0
2220,Deciphera Pharmaceuticals,,0,0
2226,DICK'S Sporting Goods,,0,0
2229,Southwest Research Institute,,0,0
2236,SkyWater Search Partners,,0,0
2237,ASRC Federal,,0,0
2240,Digitas Health,,0,0
2253,Pape-Dawson Engineers,,0,0
2265,Claire's,,0,0
2270,Weifield Group Contracting,,0,0
2292,Careers @ Graham Packaging,,0,0
2300,Merrick & Company,,0,0
2304,Zoetis,,0,0
2305,Publicis Health,,0,0
2307,Weifield Group Contracting,,0,0
2314,Publicis Health,,0,0
2315,Stanford University,,0,0
2320,Saatchi & Saatchi Wellness,,0,0
2330,Digitas Health,,0,0
2342,DICK'S Sporting Goods,,0,0
2358,Easterseals Southern California,,0,0
2360,Digitas Health,,0,0
2367,ASRC Federal,,0,0
2374,Zoetis,,0,0
2378,Publicis Health,,0,0
2386,UVA Health,,0,0
2387,UVA Health,,0,0
2388,UVA Health,,0,0
2401,UVA Health,,0,0
2402,UVA Health,,0,0
2404,UVA Health,,0,0
2405,UVA Health,,0,0
2421,The Reserves Network,,0,0
2436,The Reserves Network,,0,0
2438,The Reserves Network,,0,0
2454,UVA Health,,0,0
2470,The Reserves Network,,0,0
2478,UVA Health,,0,0
2487,Olympus Corporation of the Americas,,0,0
2494,UVA Health,,0,0
2495,UVA Health,,0,0
2503,Indiana University Health,,0,0
2518,Tompkins Financial Advisors,,0,0
2547,Douglas County School District,,0,0
2576,North Arkansas Regional Medical Center,,0,0
2583,California Department of Human Resources (CalHR),,0,0
2613,Douglas County School District,,0,0
2623,Clark County School District,,0,0
2624,Summit Materials,,0,0
