skill_name,num_industries
Management,164
Information Technology,160
Sales,156
Manufacturing,149
Business Development,143
Other,136
Engineering,125
Administrative,115
Accounting/Auditing,114
Finance,111
Marketing,108
Project Management,98
Human Resources,91
Analyst,89
Customer Service,86
Design,82
Research,68
Writing/Editing,66
Strategy/Planning,64
Art/Creative,63
Consulting,62
Public Relations,59
General Business,58
Quality Assurance,56
Legal,54
Health Care Provider,51
Production,50
Training,50
Product Management,50
Education,43
Supply Chain,40
Purchasing,35
Science,31
Advertising,23
Distribution,18
