industry_name,skill_name,skill_count,rank
Accounting,Accounting/Auditing,170,1
Accounting,Finance,117,2
Accounting,Sales,30,3
Accounting,Information Technology,22,4
Accounting,Consulting,14,5
Accounting,Strategy/Planning,13,6
Accounting,Business Development,12,7
Accounting,Management,11,8
Accounting,Analyst,8,9
Accounting,Human Resources,8,9
Administration of Justice,Business Development,1,1
Administration of Justice,Sales,1,1
Administrative and Support Services,Customer Service,5,1
Administrative and Support Services,Administrative,3,2
Administrative and Support Services,Engineering,1,3
Administrative and Support Services,Design,1,3
Administrative and Support Services,Project Management,1,3
Advertising Services,Sales,56,1
Advertising Services,Business Development,44,2
Advertising Services,Advertising,34,3
Advertising Services,Marketing,25,4
Advertising Services,Information Technology,7,5
Advertising Services,Management,6,6
Advertising Services,Public Relations,5,7
Advertising Services,Writing/Editing,5,7
Advertising Services,Manufacturing,5,7
Advertising Services,Engineering,4,10
Agricultural Chemical Manufacturing,Management,4,1
Agricultural Chemical Manufacturing,Manufacturing,4,1
"Agriculture, Construction, Mining Machinery Manufacturing",Analyst,4,1
"Agriculture, Construction, Mining Machinery Manufacturing",Accounting/Auditing,3,2
"Agriculture, Construction, Mining Machinery Manufacturing",Finance,3,2
"Agriculture, Construction, Mining Machinery Manufacturing",Human Resources,1,4
"Agriculture, Construction, Mining Machinery Manufacturing",Information Technology,1,4
"Agriculture, Construction, Mining Machinery Manufacturing",Engineering,1,4
"Agriculture, Construction, Mining Machinery Manufacturing",Manufacturing,1,4
"Agriculture, Construction, Mining Machinery Manufacturing",Quality Assurance,1,4
"Agriculture, Construction, Mining Machinery Manufacturing",Production,1,4
"Air, Water, and Waste Program Management",Legal,2,1
"Air, Water, and Waste Program Management",Administrative,1,2
"Air, Water, and Waste Program Management",Customer Service,1,2
"Air, Water, and Waste Program Management",General Business,1,2
"Air, Water, and Waste Program Management",Sales,1,2
"Air, Water, and Waste Program Management",Business Development,1,2
Airlines and Aviation,Information Technology,24,1
Airlines and Aviation,Engineering,18,2
Airlines and Aviation,Management,11,3
Airlines and Aviation,Manufacturing,11,3
Airlines and Aviation,Sales,4,5
Airlines and Aviation,Business Development,4,5
Airlines and Aviation,Other,3,7
Airlines and Aviation,Supply Chain,2,8
Airlines and Aviation,Purchasing,2,8
Airlines and Aviation,Marketing,2,8
Airlines and Aviation,Accounting/Auditing,2,8
Airlines and Aviation,Human Resources,2,8
Airlines and Aviation,Training,2,8
Airlines and Aviation,Education,2,8
Airlines and Aviation,Design,2,8
Alternative Fuel Vehicle Manufacturing,Legal,1,1
Alternative Medicine,Other,1,1
Alternative Medicine,Human Resources,1,1
Alternative Medicine,Engineering,1,1
Alternative Medicine,Information Technology,1,1
Animal Feed Manufacturing,Research,2,1
Animal Feed Manufacturing,Accounting/Auditing,1,2
Animal Feed Manufacturing,Science,1,2
Animal Feed Manufacturing,Manufacturing,1,2
Animal Feed Manufacturing,Sales,1,2
Apparel & Fashion,Sales,7,1
Apparel & Fashion,Business Development,5,2
Apparel & Fashion,Customer Service,3,3
Apparel & Fashion,Management,2,4
Apparel & Fashion,Manufacturing,2,4
Apparel & Fashion,Human Resources,2,4
Apparel & Fashion,Other,2,4
Apparel & Fashion,Engineering,1,8
Apparel & Fashion,Information Technology,1,8
Apparel Manufacturing,Accounting/Auditing,1,1
Apparel Manufacturing,Finance,1,1
Apparel Manufacturing,Other,1,1
"Appliances, Electrical, and Electronics Manufacturing",Manufacturing,29,1
"Appliances, Electrical, and Electronics Manufacturing",Engineering,26,2
"Appliances, Electrical, and Electronics Manufacturing",Information Technology,26,2
"Appliances, Electrical, and Electronics Manufacturing",Management,22,4
"Appliances, Electrical, and Electronics Manufacturing",Sales,14,5
"Appliances, Electrical, and Electronics Manufacturing",Accounting/Auditing,10,6
"Appliances, Electrical, and Electronics Manufacturing",Business Development,10,6
"Appliances, Electrical, and Electronics Manufacturing",Finance,8,8
"Appliances, Electrical, and Electronics Manufacturing",Marketing,6,9
"Appliances, Electrical, and Electronics Manufacturing",Design,6,9
"Appliances, Electrical, and Electronics Manufacturing",Other,6,9
Architecture and Planning,Design,13,1
Architecture and Planning,Information Technology,13,1
Architecture and Planning,Art/Creative,12,3
Architecture and Planning,Sales,7,4
Architecture and Planning,Engineering,6,5
Architecture and Planning,Business Development,6,5
Architecture and Planning,Marketing,6,5
Architecture and Planning,Management,5,8
Architecture and Planning,Public Relations,4,9
Architecture and Planning,Writing/Editing,4,9
Armed Forces,Other,16,1
Armed Forces,Management,7,2
Armed Forces,Manufacturing,6,3
Armed Forces,Finance,2,4
Armed Forces,Sales,2,4
Armed Forces,Business Development,2,4
Armed Forces,Administrative,2,4
Armed Forces,Information Technology,1,8
Armed Forces,Accounting/Auditing,1,8
Armed Forces,Research,1,8
Armed Forces,Analyst,1,8
Armed Forces,Strategy/Planning,1,8
Armed Forces,General Business,1,8
Automation Machinery Manufacturing,Manufacturing,12,1
Automation Machinery Manufacturing,Engineering,10,2
Automation Machinery Manufacturing,Management,9,3
Automation Machinery Manufacturing,Information Technology,9,3
Automation Machinery Manufacturing,Production,2,5
Automation Machinery Manufacturing,Analyst,2,5
Automation Machinery Manufacturing,Sales,1,7
Automation Machinery Manufacturing,Other,1,7
Automation Machinery Manufacturing,Design,1,7
Automation Machinery Manufacturing,Marketing,1,7
Automation Machinery Manufacturing,Public Relations,1,7
Automation Machinery Manufacturing,Writing/Editing,1,7
Automotive,Customer Service,3,1
Automotive,Quality Assurance,3,1
Automotive,Management,3,1
Automotive,Sales,2,4
Automotive,Business Development,1,5
Automotive,Accounting/Auditing,1,5
Automotive,Finance,1,5
Automotive,Strategy/Planning,1,5
Automotive,Information Technology,1,5
Aviation & Aerospace,Administrative,1,1
Aviation and Aerospace Component Manufacturing,Engineering,30,1
Aviation and Aerospace Component Manufacturing,Information Technology,29,2
Aviation and Aerospace Component Manufacturing,Other,18,3
Aviation and Aerospace Component Manufacturing,Manufacturing,14,4
Aviation and Aerospace Component Manufacturing,Management,11,5
Aviation and Aerospace Component Manufacturing,Science,4,6
Aviation and Aerospace Component Manufacturing,Finance,3,7
Aviation and Aerospace Component Manufacturing,Supply Chain,3,7
Aviation and Aerospace Component Manufacturing,Consulting,3,7
Aviation and Aerospace Component Manufacturing,Project Management,3,7
Baked Goods Manufacturing,Management,1,1
Baked Goods Manufacturing,Manufacturing,1,1
Banking,Finance,163,1
Banking,Sales,157,2
Banking,Information Technology,59,3
