job_id,company_name,title,description,location,company_id,views,formatted_work_type,application_type,formatted_experience_level,posting_domain,sponsored,zip_code,ingestion_time
3901685816,AltaMed Health Services,nurse practitioner float,"Work Boldly. Live Brilliantly.

At AltaMed, we don’t just serve our communities, we are part of them. We have raised the expectations of what a community clinic can deliver because we think quality care is for everyone. And, we are determined to provide it no matter the challenges because this is more than a job. It’s the calling of our lives and it compels us to keep moving forward.

Job Overview

Under the supervision of the Associate Medical Director & Clinic Administrator, provide medical services to clients, ensuring appropriate and professional medical services.

Minimum Requirements

Graduation from an accredited Baccalaureate school of nursing.

Completed training in the diagnosis and management of common as well as some complex medical conditions.

Current licensure in the State of California.

Certification as an Adult/Family/Pediatric/Women’s Health Nurse Practitioner.

Previous experience with computer based systems required; Electronic Medical records experience preferred.

Pay Range: $108,160.00 - $178,984.00 annually

Benefits & Career Development

Medical, Dental and Vision insurance403(b) Retirement savings plans with employer matching contributionsFlexible Spending AccountsCommuter Flexible SpendingCareer Advancement & Development opportunitiesPaid Time Off & HolidaysPaid CME Days Malpractice insurance and tail coverageTuition Reimbursement ProgramCorporate Employee DiscountsEmployee Referral Bonus ProgramPet Care Insurance

Salary Range

$134,224.78 - $167,780.98 annually","Huntington Park, CA",79135.0,7.0,Full-time,OffsiteApply,Mid-Senior level,altamed.wd1.myworkdayjobs.com,0,90255.0,2025-11-18 03:44:47
3905373626,"Lowe's Companies, Inc.",Part Time - Fulfillment Associate - Flexible,"What You Will Do

All Lowe’s associates deliver quality customer service while maintaining a store that is clean, safe, and stocked with the products customers need. As a Fulfillment Associate, this means:

 Being friendly and professional, and responding quickly to customer and associate needs.  Ensuring merchandise is in good condition, accurately accounted for, and delivered to customers on-time.  Pulling merchandise safely for loading onto delivery trucks and helping customers and staff move merchandise safely. 

The Fulfillment Associate assists customers, delivery team members, and Installation PROviders by pulling and preparing orders prior to pick up, replenishing shelves for next customers and loading merchandise into their vehicles. To meet the needs of our customers, this associate must feel comfortable engaging in conversations with other associates to ensure correct products are delivered on time. The associate helps ensure that the right products are delivered to our customers by accurately pulling, inspecting and preparing merchandise for delivery or pick up, as well as verifying invoices against loaded products. In addition, the associate ensures deliveries are ready upon truck arrival, and assists with loading merchandise, including large appliances. Safety is critical because this associate lifts and moves merchandise for staff and customers frequently throughout his/her shift. Fulfillment Associate(s) assigned to the Pro Department are required to be certified on the following Power Equipment (PE) within 30 days of their start date in the Pro Department: forklifts, pallet jacks and electrical lifts.

Travel Requirements: This role does not require regular travel; however, this role may need to travel on occasion to meetings, trainings, or to support neighboring stores.

What We're Looking For

 Hourly Full Time or Part Time: Generally scheduled 39 to 40 or up to 25 hours per week, respectively; more hours may be required based on the needs of the store.  Requires morning, afternoon and evening availability any day of the week.  Physical ability to perform tasks that may require prolonged standing, sitting, and other activities necessary to perform job duties.  Minimally must be able to lift 25 pounds without assistance; may lift over 25 pounds with or without assistance. 

Minimum Qualifications

What You Need To Succeed

 Ability to read, write, and perform basic arithmetic (addition, subtraction).  6 months of experience using a computer, including inputting, accessing, modifying, or outputting information.  6 months experience using common retail technology, such as smart phones and tablets.  Ability to obtain sales related licensure or registration as may be required by law. 

Preferred Qualifications

 6 months retail experience.  6 months of experience in a customer service or product fulfillment position at a home improvement or hardware retailer in related department (e.g., kitchen, plumbing, electrical, lawn and garden).  6 months experience in any industry inspecting, carrying, loading, and unloading product or material in or out of vehicles. 

Lowe’s is an equal opportunity employer and administers all personnel practices without regard to race, color, religious creed, sex, gender, age, ancestry, national origin, mental or physical disability or medical condition, sexual orientation, gender identity or expression, marital status, military or veteran status, genetic information, or any other category protected under federal, state, or local law.

Starting rate of pay may vary based on factors including, but not limited to, position offered, location, education, training, and/or experience. For information regarding our benefit programs and eligibility, please visit https://talent.lowes.com/us/en/benefits.","St Peters, MO",4128.0,4.0,Part-time,OffsiteApply,Associate,talent.lowes.com,0,63376.0,2025-11-18 03:44:47
3904363725,Protouch Staffing,RN - MS/TELE - Travel,"Gross Pay (weekly): $3026.0

Taxable Pay (weekly): 1612.0

Non-taxable Pay (weekly): 1414.0

RN - MS/TELE - Travel

Shift: 07:00 PM to 07:00 AM

Location: Charlottesville, VA

Scheduled Hours : 48","Charlottesville, VA",147875.0,2.0,Contract,OffsiteApply,Mid-Senior level,www.protouchstaffing.com,0,22901.0,2025-11-18 03:44:47
3905246744,Connected Health Care,"Travel/Contract RN *up to $2,400/wk*","Job Description

Travel/Contract RN

up to $2,400/wk*

Exciting Opportunity for Registered Nurse - General Certifications Required!

Job Description: Connected Health Care, in partnership with a leading Critical Access Hospital in Driggs, ID, is seeking dedicated Registered Nurses for contract positions. This is an excellent opportunity for passionate healthcare professionals looking to make a difference in a dynamic medical environment. The positions offer 3 12-hour night shifts, with an immediate start date available.

Responsibilities

Provide compassionate and high-quality patient care in accordance with hospital policies and procedures. Collaborate with interdisciplinary teams to ensure optimal patient outcomes. Perform comprehensive assessments and administer medications as prescribed. Maintain accurate medical records and documentation. 

Requirements

Active Registered Nurse license in the state of Idaho. General certifications required. Additional certifications such as BLS, ACLS, and PALS preferred. Minimum of [1] years of nursing experience in a hospital setting. 

Benefits

Competitive compensation package. Medical benefits. Paid time off (PTO). 

Location Highlights: Nestled in the breathtaking Teton Valley, Driggs, ID, offers an unparalleled quality of life. Surrounded by stunning mountain vistas, outdoor enthusiasts will find endless opportunities for adventure. From world-class skiing at nearby resorts to hiking, fishing, and wildlife watching in the summer months, Driggs has something for everyone. Explore charming local shops and restaurants, or simply relax and soak in the natural beauty of this idyllic community.

Join Our Team: Don't miss this chance to embark on a fulfilling nursing career in one of the most picturesque locations in the country! Apply now and become part of a supportive team dedicated to providing exceptional patient care. Start your journey with Connected Health Care today!","Boise, ID",72610772.0,3.0,Contract,OffsiteApply,Mid-Senior level,jobs.connectedhealthcare.com,0,83702.0,2025-11-18 03:44:47
3895494622,AutoZone,Senior Retail Sales Associate (Full-Time),"AutoZone's Full-Time Senior Retail Sales Associate drives sales through superior customer service by exceeding customer expectations and providing a WOW! Customer Service experience. While assisting customers, the Senior Retail Sales Associate will perform daily assigned duties and remain compliant with company procedures in accordance to AutoZone expectations by Living the Pledge every day.

Position Responsibilities

Provides WOW! Customer ServiceEnsures assigned store tasks are completed in a timely manner on assigned shiftOperates cash registers and follows established cash handling proceduresFollows company policies and loss prevention proceduresMaintains a safe working environment including PPE (Personal Protective Equipment)Maintains store appearance and merchandising standards as directedEnsures that merchandise is restocked and placed in their respective areasUtilizes ZNET to help customers locate merchandise or find suitable alternativesMaintains product knowledge and current promotions through AutoZone systems and information sourcesPractices GOTTChA and assists with the installation of wipers blades, batteries and light bulbsUtilizes OBDII to read codes from customer’s automobilesAbility to diagnose automobile problems and recommend solutionsCommunicates with managers regarding customer concerns and employee mattersActively engaged in developing more effective customer service skillsProvides honest and trustworthy advice to customers regarding the best products that fit the customers’ expectations

Position Requirements

High School diploma or equivalentBasic knowledge of automotive parts is requiredExcellent communication and decision making skillsAbility to lift, load, and deliver merchandiseAbility to work a flexible schedule to meet the business needs, including holidays, evenings and weekend shifts

Benefits At AutoZone

AutoZone cares about people. That’s why AutoZone offers thoughtful benefits programs with one-on-one benefit guidance designed to improve AutoZoners’ physical, mental and financial wellbeing.

Some Of These Benefits Include

Competitive pay and paid time off Unrivaled company culture Medical, dental, vision, life, and short- and long-term disability insurance options   Health Savings and Flexible Spending Accounts with wellness rewards Exclusive Discounts and Perks, including AutoZone In-store discount 401(k) with Company match and Stock Purchase Plan AutoZoners Living Well Program for mental and physical health Opportunities for career growth and tuition reimbursement  

Eligibility and waiting period requirements may apply; benefits for Autozoners in Puerto Rico, Hawaii or the U.S. Virgin Islands may differ. Learn more about all that AutoZone has to offer at careers.autozone.com

An ONLINE APPLICATION is REQUIRED. Click the Apply button to complete your application. For step-by-step instructions on how to apply visit careers.autozone.com/candidateresources

Please note: We continuously accept applications for this position. Our hiring managers frequently review submissions and will contact you if we think you are a good fit for our team

Compensation Range (USD): MIN 16.0 - MID 16.15 - MAX 16.3","Sonora, CA",7412.0,4.0,Full-time,OffsiteApply,Entry level,careers.autozone.com,0,95370.0,2025-11-18 03:44:47
3906249336,ENGIE Impact,Mailroom Associate,"This is a full-time in office position located in Spokane, Washington. 

Work schedule is Monday-Tuesday Thursday-Saturday 

Hours will be 7:00am 3:30pm 

Flexibility in work schedule is a must. The day after a Postal Holiday is a required workday.

SUMMARY:

Responsible for performing specialized duties in support of department operations, including sorting, opening, prepping, counting, batching, scanning, and prioritizing incoming utility invoices. High volume, fast paced environment. Assists in providing quality service to our internal clients. Additional duties include general mailroom and filing functions.

PRIMARY FUNCTIONS AND ESSENTIAL RESPONSIBILITIES:

Sort, open and prep incoming utility invoices with a high degree of accuracyIdentify due dates and prep bills appropriately for scanningDifferentiate between high and low priority correspondence and process as instructedIdentify utility invoices/correspondence containing documents other than an invoice, such as, urgent notices, checks, meter issues, violation notices, etc… and expedite their processCreate, scan, and transfer batches, ensuring legible images.Scan high priority correspondence and transfer to appropriate team folders.Process incoming and outgoing shipments for internal and external clients.Other duties as assigned

Education/Certification/Knowledge:

High school diploma or GED required.

Experience:

Mailroom or clerical experience preferred.General office machine and computer experienceAttention to detail in tasks and processes, with a high degree of accuracy.Dependable/reliable, results oriented.Able to organize and prioritize multiple tasks and workflow.Ability to stay focused with repetitive type of work.Must be a service minded individual who is flexible and adaptable.Must be a team player.

At ENGIE, our goal is to support, promote, and thrive on diversity, equity, and inclusion. We do so for the benefit of our employees, customers, products and services, and community. ENGIE is proud to be an equal opportunity workplace, and we are firmly committed to creating an equitable and inclusive environment for all employees.

We are committed to providing employees with a work environment free of discrimination and harassment. All employment decisions at ENGIE are based on business needs, job requirements, and individual qualifications. ENGIE is committed to providing equal employment opportunities regardless of actual or perceived race, color, creed, religion, national origin, ancestry, citizenship, age, sex or gender (including pregnancy, childbirth, and related medical conditions), gender identity, or gender expression (including transgender status), sexual orientation, marital status, civil union, or domestic partnership status, military service or veteran status, physical or mental disability, protected medical condition, genetic information, or any other legally protected category (referred to as “protected characteristics”) as defined by applicable federal, state or local law in the locations where we operate.

The pay range for this role is: $15.74-$21.60.

Pay range is based on several factors and may vary in addition to a full range of medical, financial, and/or other benefits. Final salary and offer will be determined by the applicant’s background, experience, skills, internal equity, and alignment with geographical market data. This position is eligible for our comprehensive and competitive benefits package including medical, dental, vision, and basic life insurance. Additional ENGIE benefits include a 401k plan, and paid time off. ENGIE complies with all federal, state, and local minimum wage laws.","Spokane, WA",28788105.0,4.0,Full-time,OffsiteApply,Entry level,jobs.engie.com,0,99201.0,2025-11-18 03:44:47
3901943898,Ingersoll Rand,Facilities Engineering Internship,"Ingersoll Rand is committed to achieving workforce diversity reflective of our communities. We are an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances.

Ingersoll Rand’s Early Talent Experiences

Early talent career programs are critical to Ingersoll Rand’s overall talent strategy. Through these programs, you’ll get

hands-on exposure to our business. That means real projects and real work that will challenge you and grow your skills,

alongside mentors who want to see you succeed in your education and your career. In addition to challenging work you will receive targeted intentional development that will position you for a robust career path.

Ob Description

Ingersoll Rand Mocksville is looking for a Manufacturing Engineer Intern to assist their team of manufacturing engineers in special projects. This role will be a contributor to various projects throughout the plant and gain relevant knowledge to processes and procedures in a manufacturing environment.

Job Responsibilities

Learn and understand different manufacturing methods and processes Evaluate current processes and make recommendations for improvement based on our guiding principles of Safety, Quality, Delivery, Inventory and Performance. Present and communicate information to peers and management Lead or support Kaizen activities Lead or support standardization initiatives Interface with other internal groups or organizations 

Job Qualifications

Must be currently pursuing either a bachelor’s or master’s degree in manufacturing engineering, industrial engineering, or mechanical engineering Basic CAD/CAM software skills Leadership skills Teamwork skills Problem-solving skills Good information technology skills Excellent communication skills Ability to work in a team environment and take initiative 

Ingersoll Rand Inc. (NYSE:IR), driven by an entrepreneurial spirit and ownership mindset, is dedicated to helping make life better for our employees, customers and communities. Customers lean on us for our technology-driven excellence in mission-critical flow creation and industrial solutions across 40+ respected brands where our products and services excel in the most complex and harsh conditions. Our employees develop customers for life through their daily commitment to expertise, productivity and efficiency. For more information, visit www.IRCO.com.","Mocksville, NC",3175.0,4.0,Internship,OffsiteApply,Internship,ir-jobs.dzconnex.com,0,27028.0,2025-11-18 03:44:47
3905335174,"Penn Medicine, University of Pennsylvania Health System",Pharmacy Technician Ambulatory Oncology Infusion – PPMC (Philadelphia PA),"Description

Penn Medicine is dedicated to our tripartite mission of providing the highest level of care to patients, conducting innovative research, and educating future leaders in the field of medicine. Working for this leading academic medical center means collaboration with top clinical, technical and business professionals across all disciplines.

Today at Penn Medicine, someone will make a breakthrough. Someone will heal a heart, deliver hopeful news, and give comfort and reassurance. Our employees shape our future each day. Are you living your life's work?

Description

Penn Medicine is dedicated to our tripartite mission of providing the highest level of care to patients, conducting innovative research, and educating future leaders in the field of medicine. Working for this leading academic medical center means collaboration with top clinical, technical and business professionals across all disciplines.

Today at Penn Medicine, someone will make a breakthrough. Someone will heal a heart, deliver hopeful news, and give comfort and reassurance. Our employees shape our future each day. Are you living your life's work?

Pharmacy Technician FT Ambulatory Oncology Infusion – Penn Presbyterian Medical Center (Philadelphia PA)

Assists in the filling and compounding of all infusion and hospital medications under the direct supervision of a registered pharmacist. Ensures the safe and accurate preparation of medications, particularly hazardous drugs used in oncology treatment. Expertise in sterile & hazardous compounding and attention to detail will directly impact patient care and outcomes.

Responsibilities:

Assists the pharmacist in preparing and compounding medications. Serves as a resource for pharmacists, medical and nursing staff. Follows Health System Policies and Procedures. Provides proper storage and security of patient-sensitive documents and medication containers. Prepares and delivers medications in a timely manner. Puts away returns in an appropriate and timely manner. Delivers controlled substances to correct location without discrepancy (places correct medication in right drawer). Delivers non-controlled substances to correct location without discrepancy (places correct medication in right drawer). Reviews expiration dates of medications and pulls expired medications. Maintains aseptic technique when admixing of IVs. Mixes the correct medication in the correct solution when admixing. Provides the pharmacist with information necessary to check IV admixture (syringes, vials, label, calculations). Assists the pharmacist with pre-packing medications as needed with appropriate labeling requirements. Exchanges crash carts and other emergency medications as needed. Is able to practice in a variety of areas within the pharmacy as required by staffing. Completes assignments in a timely manner. Signs out medications from inventory and indicates medications requiring re-ordering.

Sterile Compounding: Prepare sterile intravenous (IV) medications, including chemotherapy agents, following established protocols and safety guidelines.Hazardous Drug Handling: Safely handle and compound hazardous drugs and chemotherapy agents, adhering to best practices and regulatory standards, such as USP 800Quality Assurance: Perform routine checks to verify the accuracy, labeling, and expiration dates of compounded medications.Inventory Management: Assesses and maintains appropriate inventory levels of infusion medications and supplies to uphold operations. Assists with drug shortagesCollaboration: Work closely with pharmacists, nurses, and other healthcare professionals to ensure seamless medication administration.Documentation: Accurately document all compounding activities and maintain records as required.Adherence to Policies: Follow institutional policies, procedures, and safety protocols.
Credentials:

 Certification: Certified Pharmacy Technician (CPhT) required Education: H.S. Diploma/GED (Required); Associate’s Degree, Bachelor's Degree, or College experience preferred Experience: Previous experience in sterile and/or hazardous compounding in an oncology or infusion setting preferred. Knowledge: Familiarity with hazardous drug handling and USP and guidelines. Ensures compliance with proper sterile and hazardous compounding Communication Skills: Effective communication and teamwork abilities. Flexibility: Willingness to adapt to changing priorities and work collaboratively in a fast-paced environment

We believe that the best care for our patients starts with the best care for our employees. Our employee benefits programs help our employees get healthy and stay healthy. We offer a comprehensive compensation and benefits program that includes one of the finest prepaid tuition assistance programs in the region. Penn Medicine employees are actively engaged and committed to our mission. Together we will continue to make medical advances that help people live longer, healthier lives.

Live Your Life's Work

We are an Equal Opportunity and Affirmative Action employer. Candidates are considered for employment without regard to race, ethnicity, color, sex, sexual orientation, gender identity, religion, national origin, ancestry, age, disability, marital status, familial status, genetic information, domestic or sexual violence victim status, citizenship status, military status, status as a protected veteran or any other status protected by applicable law.","Philadelphia, PA",3163.0,4.0,Full-time,OffsiteApply,Entry level,careers.pennmedicine.org,0,19102.0,2025-11-18 03:44:47
3906227611,Sterling St James LLC,RN &#8211; Home Health Full Time,"We are seeking a highly motivated and experienced Registered Nurse to join our team as a full-time Home Health Visiting Nurse. The RN will provide comprehensive nursing care to patients in their homes in Fort Smith, AR.

The ideal candidate must have at least one year of experience as an RN in a home health setting or related healthcare field.

The duties of an RN may vary depending on the work environment, but they generally include the following:

 Conduct in-home patient assessments and develop care plans based on patient needs. Provide skilled nursing care to patients, including wound care, medication management, and other nursing procedures. Educate patients and their families on health management and disease prevention strategies. Collaborate with healthcare team members, including physicians, therapists, and social workers. Document patient care accurately and timely in electronic medical records. Maintain current knowledge of nursing practices and trends in home health care.


Qualifications:

 Active RN license in state. OASIS required. Minimum of one year of experience in home health care or related healthcare field. Excellent communication and interpersonal skills. Ability to work independently and manage multiple patients. Reliable transportation, valid driver's license, and auto insurance. Comfortable using electronic medical records. Must have a current CPR certification.


Benefits:

 Competitive salary. Health, dental, and vision insurance. Retirement plan. Paid time off. Continuing education opportunities. Mileage reimbursement.


If you are a motivated and compassionate RN with a passion for home health care, we encourage you to apply for this exciting opportunity to make a difference in the lives of our patients.","Fort Smith, AR",3217283.0,4.0,Full-time,OffsiteApply,Mid-Senior level,sterlingstjames.com,0,72901.0,2025-11-18 03:44:47
3889113581,Aya Healthcare,"Travel - PCU - Nurse Job - $2,411/wk - $2,600/wk","Aya Healthcare has an immediate opening for the following position: PCU Registered Nurse in Mesa, AZ.

We’ll work with you to build the healthcare career of your dreams. Whether you want a job close to home or across the country, we’ve got you.

Job Details

Pay: $2,411/week - $2,600/weekAssignment Length: 13-week assignmentShift: 3, 12-Hour 19:00 - 07:30At least one year of experience required


Aya delivers: 

The most jobs in the industry. We have the largest and most reliable job database, which means the jobs you see are open, updated in real time and ready for you!Competitive advantage over other agencies. Front-of-the-line access through our direct facility relationships — many with quick (even same-day) offers, giving you the best chance of securing your ideal opportunity.Expedited licensing and streamlined compliance. An industry-leading on-time start rate and strong relationships with boards of nursing across the country to accelerate the process in all 50 states.Expert career guidance. A dedicated recruiter to help you achieve your dream career. Travel, per diem, permanent — we have the reach and access to get you the jobs you want, and the expertise to help you realize your long-term goals.A best-in-class support system and an exceptional experience. Enjoy accurate, weekly pay, and an entire team dedicated to your happiness on assignment, 24/7.    


Plus, you get everything you expect from the largest healthcare staffing company in the industry:  

Exceptional benefits, including premium medical, dental, vision and life insurance beginning day one of your assignment. Want to take time off? Keep insurance coverage for up to 24 days between assignments.A generous 401(k) match.Paid company housing (we’ll help you bring your pets along, too!) or a generous housing stipend.Paid sick time in accordance with all applicable state, federal, and local laws. Aya’s general sick leave policy is that employees accrue one hour of paid sick leave for every 30 hours worked. However, to the extent any provisions of the statement above conflict with any applicable paid sick leave laws, the applicable paid sick leave laws are controlling.The industry’s only clinical ladder program for RNs on assignment.Access to unlimited continuing education units online.Licensure, relocation and other reimbursements, when applicable.Pay listed above includes taxable wages and tax-free expense reimbursements.


Aya is an Equal Employment Opportunity (""EEO"") Employer and welcomes all to apply.","Mesa, AZ",808034.0,3.0,Contract,OffsiteApply,Mid-Senior level,www.ayahealthcare.com,0,85201.0,2025-11-18 03:44:47
